name;year;season;episode;title;imdb_rating;my_rating;data_obtained
Gibi (As If);2021;1;1;kokaric;8,70;8,10;2.07.2025
Gibi (As If);2021;1;2;vatka;7,6;7,7;2.07.2025
Gibi (As If);2021;1;3;nu model;7,8;7,6;2.07.2025
Gibi (As If);2021;1;4;erasmus'la gelen yamyam;9,3;9,2;2.07.2025
Gibi (As If);2021;1;5;yanlis mentor;6,8;6,4;2.07.2025
Gibi (As If);2021;1;6;karanlik guc;8,4;8,8;2.07.2025
Gibi (As If);2021;1;7;ikinci yol;9;8,6;2.07.2025
Gibi (As If);2021;1;8;badana;8,3;8,3;2.07.2025
Gibi (As If);2021;1;9;ayirtma yenilemesi;7,7;7,5;2.07.2025
Gibi (As If);2021;1;10;kan parasi;7,5;7,5;2.07.2025
Gibi (As If);2021;1;11;yilmaz bey banyo;7,1;7,2;2.07.2025
Gibi (As If);2021;1;12;atin bulunusu;8,9;8,2;2.07.2025
Gibi (As If);2021;2;1;vucutcu yalvac;8,8;8,5;2.07.2025
Gibi (As If);2022;2;2;kuki;9,2;8,9;2.07.2025
Gibi (As If);2022;2;3;bej;7,2;8;2.07.2025
Gibi (As If);2022;2;4;sokak roportaj?;8,6;8,8;2.07.2025
Gibi (As If);2022;2;5;caca ve cosplay;9,4;9,3;2.07.2025
Gibi (As If);2022;2;6;iki ici disi bir kisi;8,1;7,6;2.07.2025
Gibi (As If);2022;2;7;gelin basi;8,3;8,3;2.07.2025
Gibi (As If);2022;2;8;resimdeki unlu;7,2;7,1;2.07.2025
Gibi (As If);2022;2;9;esref hidayet gurdal kultur merkezi;7,4;7,1;2.07.2025
Gibi (As If);2022;2;10;vita brevis;8,3;8;2.07.2025
Gibi (As If);2022;3;1;sarisin ve kotlu;7,5;7,2;2.07.2025
Gibi (As If);2022;3;2;keskin nisanci;8;8;2.07.2025
Gibi (As If);2022;3;3;bufe;8,9;9,5;2.07.2025
Gibi (As If);2022;3;4;sinifsal veda;8,6;8,7;2.07.2025
Gibi (As If);2022;3;5;mazbut bir hayat saglam bir ahlak bol bol sevgi;6,8;6,7;2.07.2025
Gibi (As If);2022;3;6;ghosting;7,2;8;2.07.2025
Gibi (As If);2022;3;7;tesekkurler;7,1;7;2.07.2025
Gibi (As If);2022;3;8;gulnuray;8;8,1;2.07.2025
Gibi (As If);2022;3;9;bilanco;8,9;8;2.07.2025
Gibi (As If);2022;3;10;birinci kabak;7;6,4;2.07.2025
Gibi (As If);2023;4;1;ovgu;8,6;8,5;2.07.2025
Gibi (As If);2023;4;2;bin;8;7,5;2.07.2025
Gibi (As If);2023;4;3;orta yas krizi;8,1;8;2.07.2025
Gibi (As If);2023;4;4;kafa nakli;6,6;6,7;2.07.2025
Gibi (As If);2023;4;5;patern;7,8;7,6;2.07.2025
Gibi (As If);2023;4;6;165;7,7;7,6;2.07.2025
Gibi (As If);2023;4;7;donen tekme;7;6,5;2.07.2025
Gibi (As If);2023;4;8;defter;7,5;7,2;2.07.2025
Gibi (As If);2023;4;9;ic mimari ve dirty talk;7,7;7,8;2.07.2025
Gibi (As If);2023;4;10;m.o. 2998-2997 egitim ogreyim yili;8,6;8,8;2.07.2025
Gibi (As If);2024;5;1;sinek;8;7,7;2.07.2025
Gibi (As If);2024;5;2;kahir;8,7;8,8;2.07.2025
Gibi (As If);2024;5;3;sako bosphorus;8,7;8,8;2.07.2025
Gibi (As If);2024;5;4;yokluk;8,2;7,7;2.07.2025
Gibi (As If);2024;5;5;bobrek tasi;7,5;7,5;2.07.2025
Gibi (As If);2024;5;6;asagilik adam kanlar icinde;7,5;7,5;2.07.2025
Gibi (As If);2024;5;7;leopar ve...;7,6;7,3;2.07.2025
Gibi (As If);2024;5;8;sadan;8,6;8,5;2.07.2025
Gibi (As If);2024;5;9;irade;8,1;8;2.07.2025
Gibi (As If);2024;5;10;gelecegin habercisi genc yetiskinler;7,2;7;2.07.2025
Gibi (As If);2024;5;11;kenan ticaret;7;6,8;2.07.2025
Gibi (As If);2024;5;12;demir kalenin kuzgunlari: olum buyucusu'nun mirasi;9,1;8,6;2.07.2025
Gibi (As If);2024;5;13;demir kalenin kuzgunlari: ahsap sandigin muhafizlari;8,4;7,8;2.07.2025
Gibi (As If);2025;6;1;waffle;8,6;8,5;2.07.2025
Gibi (As If);2025;6;2;mikrodalga;8,3;8,3;2.07.2025
Gibi (As If);2025;6;3;girls night out;6,2;5,9;2.07.2025
Gibi (As If);2025;6;4;metin;8,2;9;2.07.2025
Gibi (As If);2025;6;5;nomen est omen;8,2;8,1;2.07.2025
Gibi (As If);2025;6;6;cagri'yla yapilan 17 konusma;6,8;7,5;2.07.2025
Gibi (As If);2025;6;7;gece kaplanlari;7,2;7;2.07.2025
Gibi (As If);2025;6;8;col definesi;6,5;6;2.07.2025
Gibi (As If);2025;6;9;jumbo;7,3;6,8;2.07.2025
Gibi (As If);2025;6;10;iyilik saglik;7,5;7;2.07.2025
Gibi (As If);2025;6;11;baskalari;8,2;7,8;2.07.2025
Gibi (As If);2025;6;12;yapilanlar: sade bir toren;8,3;7,9;2.07.2025
Gibi (As If);2025;6;13;yapilanlar: don yilmaz'in secimi;8,6;6;2.07.2025
