yil;donem;gunluk_ort_kWh;toplam_kWh;tutar
2022;Ocak;3,907;74,24;254,62
2022;Þubat;3,935;121,995;298,83
2022;Mart;3,601;104,432;132,9
2022;Nisan;3,868;127,64;160,4
2022;Mayýs;2,937;96,926;122,2
2022;Haziran;1,739;52,163;72,6
2022;Temmuz;1,716;56,627;82
2022;Aðustos;1,843;46,07;66,6
2022;Eylül;1,374;45,342;73,6
2022;Ekim;2,916;81,654;141,7
2022;Kasým;3,808;110,432;191,5
2022;Aralýk;3,859;104,197;180,8
2023;Ocak;3,904;132,747;230,2
2023;Þubat;4;124,011;215,2
2023;Mart;4,857;160,266;277,9
2023;Nisan;4,463;120,505;188,7
2023;Mayýs;3,531;112,994;166,6
2023;Haziran;2,596;72,694;107,2
2023;Temmuz;3,007;102,247;153,6
2023;Aðustos;3,201;108,824;165,4
2023;Eylül;2,33;74,544;111,9
2023;Ekim;3,426;99,357;152,4
2023;Kasým;4,676;126,265;192,1
2023;Aralýk;5,487;153,624;231,9
2024;Ocak;4,474;143,171;215
2024;Þubat;4,539;149,791;225,5
2024;Mart;4,694;126,744;190,3
2024;Nisan;4,219;143,461;222,1
2024;Mayýs;2,717;95,082;143,9
2024;Haziran;2,126;63,786;95,8
2024;Temmuz;2,048;57,349;118,3
2024;Aðustos;2,673;72,159;150,1
2024;Eylül;3,036;103,214;214,9
2024;Ekim;2,799;78,385;160
2024;Kasým;4,303;111,89;240
2024;Aralýk;6,173;154,332;320
2025;Ocak;6,618;231,632;480
2025;Þubat;7,02;238,664;495
2025;Mart;7,154;207,459;435
2025;Nisan;5,79;173,707;410
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
